thumb,index,middle,ring,pinky,palm_normal_angle,class
4176.12097,6038.12824,5949.76541,5732.1491,5415.87645,168.23611,zero
4185.83738,6041.0102,5987.25074,5754.43956,5409.56293,168.58927,zero
4198.71419,6064.25929,6030.94965,5796.20978,5437.85095,169.86622,zero
4227.74076,6048.73594,6017.93409,5766.8918,5416.40595,169.6412,zero
4240.20377,6018.13591,6017.63801,5742.87963,5354.44373,168.05503,zero
4309.72168,5939.02719,5944.15655,5665.37463,5278.92717,166.39763,zero
4386.55576,5948.91784,5864.59131,5594.35123,5320.41505,169.76396,zero
4323.2731,6035.16726,5914.06459,5659.11771,5281.26614,169.60734,zero
4401.10873,6033.93098,5876.00977,5663.62354,5353.02812,170.77074,zero
4306.25837,6044.75022,5849.53634,5653.27999,5352.92998,170.07003,zero
3418.26632,6231.84027,5764.57468,5740.17852,5788.19595,163.39898,zero
3462.77068,6235.13189,5771.37887,5741.12729,5781.04127,163.44701,zero
3443.34067,6238.96093,5754.25885,5723.58496,5796.43259,163.78738,zero
3427.59502,6264.0735,5772.71035,5733.6513,5801.70036,163.7284,zero
3446.93675,6287.29698,5801.39097,5751.84727,5808.71592,163.3257,zero
3469.50269,6282.78543,5829.77541,5770.84068,5804.42157,163.41681,zero
3466.8393,6267.55166,5800.02253,5748.89482,5793.9246,163.6114,zero
3467.06077,6269.14605,5799.24179,5751.40661,5790.49146,163.23863,zero
3524.58107,6259.85441,5817.50291,5762.15759,5784.29292,163.2414,zero
3561.52113,6251.53175,5823.24264,5767.12538,5775.57234,163.37612,zero
3352.70609,6748.02753,6504.15002,6181.48093,5963.35674,71.33829,zero
3350.4078,6694.03248,6515.3895,6210.01138,5988.4187,71.12951,zero
3207.83236,6731.71102,6556.02158,6254.30055,5980.07819,71.90936,zero
3273.10321,6664.92128,6453.93211,6188.14233,5985.56893,72.50326,zero
3258.65718,6657.445,6469.4424,6195.85363,5990.8365,72.04567,zero
3207.31408,6658.05415,6461.28167,6162.95246,5990.26898,71.59097,zero
3362.33241,6732.41634,6534.4015,6216.5008,5986.62663,71.12476,zero
3321.60581,6788.1024,6603.53238,6260.70733,5979.75299,70.64371,zero
3334.28769,6749.52176,6555.72046,6224.46129,5979.42954,70.68687,zero
3318.07543,6817.92063,6644.79132,6290.90972,5961.46826,70.79306,zero
3374.90307,6353.74619,6070.56879,5849.30989,5697.10306,89.11188,zero
3386.87954,6383.89802,6084.80719,5861.18159,5689.39248,89.12277,zero
3447.07208,6446.96953,6090.20511,5855.13288,5678.25366,88.5153,zero
3534.08504,6434.14009,6108.97432,5871.35012,5627.0875,87.54527,zero
3576.76709,6442.98468,6106.63149,5870.82073,5619.12682,87.49824,zero
3537.43336,6457.32414,6088.07054,5862.01373,5628.92397,87.09672,zero
3544.88172,6433.76682,6044.22006,5838.46276,5643.32163,86.986,zero
3505.2202,6442.64262,6052.21737,5842.68835,5652.00992,87.45695,zero
3563.20584,6423.55775,6052.56776,5846.11371,5641.35492,87.23956,zero
3440.11369,6441.72083,6035.69078,5825.28501,5659.53001,88.02348,zero
3923.83424,6161.72944,6074.04172,5628.67223,5338.60563,157.11348,zero
3917.83382,6188.946,6073.29787,5618.27581,5323.41987,157.65593,zero
3861.61103,6210.8267,6122.12251,5657.53353,5356.76946,157.44202,zero
3886.59413,6194.68136,6076.93129,5628.74635,5349.47072,157.35252,zero
3910.39906,6176.81313,6058.2123,5620.98634,5347.39707,157.29749,zero
3893.51016,6137.98509,5989.33312,5565.83754,5295.57354,157.06387,zero
3900.26341,6160.48157,6008.54069,5575.62281,5312.26486,157.27758,zero
3891.00107,6207.28049,6058.64932,5601.6445,5329.79324,157.62924,zero
3965.60686,6166.39231,6017.93411,5570.59679,5289.4115,157.01579,zero
3896.44501,6217.86229,6091.41104,5615.55959,5322.01837,157.30748,zero
3533.58058,6230.94401,5974.83154,5877.88462,5898.85003,155.68396,zero
3435.75841,6209.29087,5918.47488,5835.46507,5907.36798,155.17244,zero
3480.419,6175.38794,5899.42347,5797.87753,5896.11959,154.583,zero
3524.09923,6190.13536,5883.58349,5783.9829,5885.60187,154.73079,zero
3317.34199,6213.35053,5853.78494,5768.1923,5892.34016,152.98652,zero
3398.90014,6251.17328,5867.1126,5761.47528,5887.88812,154.05466,zero
3382.32282,6249.64976,5853.82597,5746.36966,5884.34322,153.70089,zero
3325.87079,6259.59438,5869.6889,5755.17475,5894.12226,153.03969,zero
3293.42303,6251.2273,5871.53605,5768.41222,5908.37397,152.2553,zero
3249.0476,6287.9028,5876.91017,5775.42217,5925.63975,152.32085,zero
4076.47384,6412.54401,6179.39626,5826.10292,5689.48156,165.35555,zero
3863.62491,6550.22259,6298.8997,6036.98595,5935.75294,162.36145,zero
3877.2063,6530.94941,6314.64199,6037.05356,5894.85843,162.67359,zero
3842.92358,6526.63359,6305.17475,6027.03989,5881.0498,163.19641,zero
3872.9087,6528.48595,6300.19132,6019.18375,5879.47787,163.06339,zero
3826.36565,6559.27417,6300.46417,6041.06962,5908.41449,162.93538,zero
4147.34441,6424.45545,6324.45752,5988.82866,5822.68657,164.12509,zero
3987.85031,6462.71608,6353.37747,6039.31788,5887.89934,163.56445,zero
