thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
34.41332,13.88319,11.38534,13.6295,168.23611,zero
34.25654,13.74382,11.29654,13.63587,168.58927,zero
33.52854,13.74783,11.4132,13.673,169.86622,zero
33.33392,13.75857,11.37031,13.75094,169.6412,zero
33.00372,13.27928,11.23227,13.73314,168.05503,zero
32.70726,13.26317,11.25843,13.6849,166.39763,zero
31.4354,13.26838,12.18191,13.86564,169.76396,zero
32.55105,12.40763,12.89197,13.60037,169.60734,zero
32.69339,12.5966,13.00552,13.79617,170.77074,zero
33.79093,12.74524,13.12129,13.84805,170.07003,zero
39.48079,13.78805,14.13589,14.36232,163.39898,zero
38.86291,13.74213,14.13625,14.37178,163.44701,zero
38.82245,13.73618,14.26243,14.41542,163.78738,zero
38.3895,13.7098,14.35946,14.43423,163.7284,zero
37.94992,13.66249,14.44093,14.45405,163.3257,zero
38.05474,13.43671,14.40871,14.46135,163.41681,zero
38.18922,13.49175,14.38172,14.4538,163.6114,zero
38.01312,13.53445,14.32346,14.43269,163.23863,zero
37.87255,13.41128,14.28538,14.40515,163.2414,zero
37.76226,13.35532,14.23747,14.38731,163.37612,zero
39.07746,11.19216,14.22512,15.20868,71.33829,zero
41.16226,10.94519,14.14137,15.12937,71.12951,zero
40.17069,12.01214,14.23911,15.04509,71.90936,zero
42.2851,12.5521,14.19937,15.00287,72.50326,zero
42.98873,12.42351,14.33486,14.99214,72.04567,zero
42.51826,11.67816,14.47002,15.03779,71.59097,zero
38.64461,11.00751,14.20709,15.15471,71.12476,zero
37.35896,10.96483,14.31529,15.24274,70.64371,zero
38.66873,10.98044,14.24894,15.1942,70.68687,zero
34.72335,11.09309,14.20202,15.25458,70.79306,zero
30.1075,14.27797,13.84098,14.61776,89.11188,zero
29.10171,14.60194,13.79806,14.5736,89.12277,zero
26.58898,15.94795,13.90471,14.54756,88.5153,zero
25.78623,15.21252,13.70276,14.53433,87.54527,zero
25.30272,15.85297,13.64441,14.5494,87.49824,zero
24.8627,16.92864,13.6495,14.53584,87.09672,zero
26.2426,16.50941,13.70962,14.48883,86.986,zero
26.4355,16.56773,13.72989,14.50573,87.45695,zero
25.801,16.40849,13.70112,14.525,87.23956,zero
26.96815,16.43513,13.81047,14.42603,88.02348,zero
31.78082,10.80968,13.60556,13.71955,157.11348,zero
31.63958,10.866,13.67793,13.732,157.65593,zero
31.30604,10.81423,13.75079,13.74635,157.44202,zero
31.92044,10.80816,13.69116,13.74881,157.35252,zero
32.11891,10.86254,13.65452,13.75307,157.29749,zero
32.33551,10.74237,13.57459,13.77999,157.06387,zero
32.43883,10.7789,13.64112,13.77319,157.27758,zero
32.61169,10.88905,13.70125,13.78749,157.62924,zero
32.44928,10.8011,13.52608,13.73491,157.01579,zero
31.86787,10.81193,13.67136,13.76742,157.30748,zero
33.42007,13.43786,13.93812,14.52146,155.68396,zero
33.93999,13.74666,14.02486,14.54173,155.17244,zero
32.45005,13.93316,14.08836,14.53459,154.583,zero
32.8582,13.91927,14.07956,14.51086,154.73079,zero
34.29566,14.40974,13.98967,14.49063,152.98652,zero
33.85033,14.12718,14.17825,14.58355,154.05466,zero
33.08149,14.22641,14.30645,14.51977,153.70089,zero
32.62342,14.54083,14.32112,14.49666,153.03969,zero
32.89553,14.60559,14.28373,14.47084,152.2553,zero
33.86047,14.89044,14.30382,14.59299,152.32085,zero
25.37744,11.63558,14.707,14.69453,165.35555,zero
26.09744,12.68363,14.86444,14.58331,162.36145,zero
25.93727,12.58507,14.62972,14.66498,162.67359,zero
26.35348,12.74109,14.4775,14.70161,163.19641,zero
26.16423,12.46665,14.49291,14.63412,163.06339,zero
26.64554,12.56387,14.59678,14.55913,162.93538,zero
24.7485,12.16999,14.37354,14.85533,164.12509,zero
25.81027,12.443,14.38948,14.82911,163.56445,zero
25.33654,12.26187,14.32812,14.94101,163.67182,zero
25.15845,12.3942,14.35108,14.86908,163.53139,zero
39.01074,12.66226,13.43996,14.74206,158.92753,zero
37.54646,12.54101,13.62192,14.70452,158.48354,zero
37.8616,12.52553,13.61211,14.73405,158.59727,zero
37.26184,12.63044,13.89659,14.676,158.43756,zero
37.55188,12.49077,13.7803,14.60212,158.29163,zero
37.14444,12.56959,13.78922,14.59986,158.46462,zero
37.80684,12.51215,13.6911,14.62911,158.87747,zero
37.54422,12.44909,13.62734,14.6547,159.05762,zero
37.28165,12.35036,13.60264,14.62067,158.99272,zero
37.5527,12.49374,13.66519,14.60731,158.97261,zero
33.61962,13.32299,14.48386,14.60246,105.23094,zero
33.50602,13.47519,14.54674,14.59814,104.78249,zero
34.17609,13.56974,14.42346,14.5858,104.09913,zero
33.72705,13.43482,14.49304,14.55117,105.32954,zero
33.728,13.49496,14.53985,14.55797,105.39602,zero
34.07278,13.61559,14.51464,14.50903,105.25826,zero
34.27581,13.56869,14.50324,14.55346,105.45733,zero
34.22556,13.63365,14.54872,14.57388,105.50069,zero
34.49831,12.91724,14.13557,15.07633,108.60182,zero
33.95757,12.67895,14.09297,15.43788,110.27221,zero
35.49059,12.23605,12.43293,14.98238,115.24442,zero
35.39414,11.89244,12.61699,14.98206,116.66085,zero
35.29906,11.82329,12.56808,14.95484,116.70724,zero
35.3516,11.88546,12.51206,14.94679,116.71735,zero
35.16818,11.27113,12.73112,14.98025,115.25126,zero
35.76988,10.46591,13.05612,14.63157,116.9002,zero
35.62687,10.7801,12.95017,14.68575,116.10002,zero
35.30809,10.41982,13.14372,14.67144,117.10798,zero
35.51145,10.27505,13.28531,14.68672,118.52885,zero
35.5766,10.39006,13.2029,14.69467,118.22612,zero
32.61811,11.50629,13.6245,14.72471,173.72103,zero
32.14801,11.62275,13.76296,15.00024,173.19522,zero
32.19655,11.58121,13.92946,15.00574,172.47207,zero
32.2032,11.45767,13.60516,14.74338,173.13788,zero
31.27229,11.31532,13.35731,14.61701,173.2799,zero
31.81129,11.32046,13.37761,14.60619,173.66367,zero
31.91236,11.31031,13.38349,14.62136,173.54569,zero
31.43844,11.16832,13.34115,14.5278,172.94181,zero
31.34014,11.14539,13.5262,14.65311,170.95428,zero
31.67185,11.20728,13.51237,14.70281,171.09892,zero
33.02423,11.20253,13.71614,14.63463,167.467,zero
32.68979,11.06668,13.80702,14.51951,167.35237,zero
31.90763,11.1376,13.8209,14.47789,167.88042,zero
32.12903,11.12106,13.84402,14.54583,168.00305,zero
32.59716,10.92922,13.77349,14.51731,167.39527,zero
32.33906,11.19535,13.77476,14.52666,166.99593,zero
32.68253,11.05333,13.73934,14.58728,167.03463,zero
32.34841,11.00551,13.78535,14.57684,166.79612,zero
32.45947,11.00723,13.72882,14.55261,166.96859,zero
32.06101,11.00956,13.76181,14.47031,167.21283,zero
40.46526,8.5707,13.27526,14.73251,159.81412,zero
40.9077,8.79579,13.74506,14.82481,160.7311,zero
40.32748,8.71013,13.42942,14.59808,160.46739,zero
40.5746,8.42315,13.45373,14.75284,160.26615,zero
40.58622,8.26159,13.49753,14.66812,160.40783,zero
40.76695,8.23852,13.50909,14.63711,160.075,zero
40.4008,8.28196,13.73618,14.71074,160.82171,zero
40.72864,8.23144,13.53001,14.67951,160.52815,zero
40.44548,8.40931,13.60684,14.6676,161.25201,zero
40.49422,8.30743,13.48876,14.76407,160.47958,zero
33.25465,10.59269,13.14154,14.99166,116.85588,zero
33.37836,10.64233,13.1575,15.08576,116.80791,zero
33.07145,10.41939,12.68355,15.07221,115.82924,zero
32.90034,10.40784,12.90864,15.1515,115.2052,zero
33.05461,10.46754,12.91008,15.09043,115.83933,zero
33.30998,10.33968,12.848,15.10967,115.90503,zero
33.22697,10.31305,12.82271,15.14958,115.48741,zero
32.35103,10.1974,12.58022,15.53384,113.72886,zero
32.22863,9.95754,12.62907,15.39758,114.07102,zero
32.04041,10.03363,12.75962,15.20322,114.80492,zero
28.48455,15.17951,13.45336,11.90159,86.57281,zero
29.21985,15.18718,13.50812,12.26609,86.39832,zero
28.87304,15.15293,13.54423,12.10397,85.52063,zero
28.98309,14.64556,13.69775,12.11838,83.49731,zero
29.48984,14.654,13.6874,12.16575,83.9786,zero
29.20034,14.62924,13.7653,12.2398,83.40216,zero
29.43353,14.7688,13.63255,12.27829,83.39002,zero
28.87315,15.11963,13.44794,12.27242,84.50207,zero
28.36304,14.70829,13.47631,12.11519,85.46661,zero
28.39786,14.66355,13.54406,12.12073,84.44103,zero
43.6209,12.65899,15.81825,15.88007,76.59808,zero
44.4933,12.65776,15.65808,15.428,76.49799,zero
43.49629,12.79438,15.63174,15.32339,76.73416,zero
43.98293,12.83182,15.63036,15.44998,76.82062,zero
41.22882,11.85459,14.56268,14.3998,78.55946,zero
41.89661,12.32844,15.13257,14.97352,77.04763,zero
42.05203,12.30463,15.03877,14.93333,77.70004,zero
42.28065,12.64399,15.06998,14.78622,78.00539,zero
42.28898,12.65851,15.12441,14.84387,78.0663,zero
41.22191,12.48434,14.93846,14.76838,78.72372,zero
31.97591,12.95461,13.82348,15.07,164.82044,zero
32.01423,13.55314,13.69334,15.13114,163.65852,zero
32.50346,13.50772,13.85977,15.09092,164.76065,zero
32.21452,13.59524,13.69859,15.09093,164.17231,zero
32.42011,13.60966,13.88411,14.87254,165.72162,zero
31.94531,13.4593,13.82062,15.03256,165.39535,zero
31.98067,13.42413,13.80864,15.01404,164.74345,zero
31.86143,13.4345,13.80626,15.15804,164.80643,zero
31.71512,13.23852,13.84199,15.09394,165.78771,zero
31.66019,13.22382,13.85945,15.09419,165.72274,zero
45.54641,16.3894,14.11269,16.30319,84.79094,zero
43.16507,16.33953,14.13956,16.12106,85.65051,zero
44.32125,16.17336,14.09563,16.22551,85.65394,zero
