thumb,index,middle,ring,pinky,palm_normal_angle,class
53.74889,36.27797,34.38319,33.33896,32.67308,168.23611,zero
54.10554,36.31827,34.7024,33.61525,32.82244,168.58927,zero
53.78941,36.68645,35.19231,34.07924,33.12066,169.86622,zero
53.81807,36.49273,35.08378,33.86885,32.9184,169.6412,zero
54.13269,36.08117,35.12846,33.85226,32.761,168.05503,zero
54.05989,35.4906,34.54827,33.29335,32.2625,166.39763,zero
54.77988,35.85005,34.22232,32.74693,32.09353,169.76396,zero
56.88982,36.43173,34.73751,33.20959,31.82058,169.60734,zero
56.72541,36.40389,34.45705,33.17915,32.03873,170.77074,zero
57.17492,36.50859,34.2329,32.97206,31.82309,170.07003,zero
61.4207,37.79508,33.43533,33.24331,34.23362,163.39898,zero
61.03026,37.83735,33.51334,33.28952,34.23933,163.44701,zero
61.19969,37.95146,33.42104,33.18929,34.32863,163.78738,zero
60.78852,38.31138,33.60065,33.30246,34.40779,163.7284,zero
60.41562,38.62207,33.88226,33.48843,34.50635,163.3257,zero
60.23429,38.54348,34.13787,33.6929,34.56745,163.41681,zero
60.25741,38.36093,33.87196,33.48064,34.42495,163.6114,zero
59.81499,38.29564,33.77108,33.38522,34.26305,163.23863,zero
59.53943,38.11856,33.88914,33.45917,34.2314,163.2414,zero
59.25661,38.04431,33.93348,33.51471,34.22821,163.37612,zero
67.69048,44.66566,41.25796,39.81079,39.78638,71.33829,zero
68.47682,43.85514,41.51536,40.28342,40.30518,71.12951,zero
68.0099,43.74672,41.48854,40.11892,39.66799,71.90936,zero
69.04128,42.32213,39.98567,38.75269,38.55167,72.50326,zero
69.18564,42.17191,40.24719,39.0091,38.97797,72.04567,zero
69.13693,42.84487,40.48642,39.15015,39.34281,71.59097,zero
67.32896,44.40962,41.6139,40.24435,40.06994,71.12476,zero
66.93832,45.40706,42.53372,40.94929,40.44772,70.64371,zero
67.43101,44.81385,41.99759,40.50809,40.25476,70.68687,zero
66.10255,46.16291,43.14966,41.50694,40.6292,70.79306,zero
62.33507,40.46381,36.21231,34.90673,34.54869,89.11188,zero
61.91986,40.77301,36.2779,34.9786,34.49569,89.12277,zero
61.6491,41.77053,36.37319,34.99697,34.49425,88.5153,zero
60.73286,41.31594,36.51024,35.22562,34.35196,87.54527,zero
60.43573,41.46605,36.38921,35.13403,34.21676,87.49824,zero
60.78129,41.76337,36.13177,34.91521,34.11095,87.09672,zero
61.20886,41.39417,35.61797,34.53181,33.98495,86.986,zero
61.40718,41.55846,35.73055,34.63017,34.12359,87.45695,zero
60.77955,41.2337,35.70461,34.64468,34.06252,87.23956,zero
61.7052,41.67259,35.68087,34.53628,34.17978,88.02348,zero
60.84191,37.19733,36.52961,33.71196,33.15733,157.11348,zero
61.38135,37.49371,36.60497,33.69743,33.09825,157.65593,zero
61.57506,37.87168,37.1295,34.13931,33.53467,157.44202,zero
61.64398,37.57505,36.6648,33.82693,33.38821,157.35252,zero
61.2802,37.31985,36.43912,33.64858,33.23666,157.29749,zero
61.10517,36.85185,35.83104,33.20454,32.87428,157.06387,zero
61.33231,37.08207,35.99323,33.25803,32.96161,157.27758,zero
61.73192,37.52868,36.47033,33.52962,33.14891,157.62924,zero
61.1321,37.04593,36.03952,33.23851,32.82637,157.01579,zero
61.7511,37.7531,36.80379,33.76697,33.25962,157.30748,zero
59.80473,37.94657,35.31575,34.7931,35.23351,155.68396,zero
60.72096,37.87442,34.78752,34.34315,35.10831,155.17244,zero
59.76942,37.6518,34.6111,34.03101,34.93766,154.583,zero
59.71915,37.60493,34.42339,33.83218,34.78093,154.73079,zero
62.43975,37.88357,34.00352,33.56491,34.70374,152.98652,zero
61.59309,38.31603,34.2504,33.59953,34.68394,154.05466,zero
61.23565,38.43862,34.1797,33.49794,34.61581,153.70089,zero
61.41174,38.70643,34.31041,33.56863,34.69225,153.03969,zero
61.57229,38.69801,34.32084,33.64148,34.75767,152.2553,zero
62.47485,39.14408,34.35168,33.66909,34.8376,152.32085,zero
53.74572,40.90601,37.53513,35.1644,35.10909,165.35555,zero
56.47901,43.03671,38.80558,36.93086,36.60332,162.36145,zero
56.00272,42.77273,39.01071,37.05976,36.52033,162.67359,zero
56.16292,42.66008,38.9336,36.95374,36.34126,163.19641,zero
55.91452,42.71101,38.83054,36.9197,36.45362,163.06339,zero
56.12531,43.071,38.8866,37.12601,36.65175,162.93538,zero
55.74731,41.67818,39.11699,36.74697,36.1963,164.12509,zero
