thumb,index,middle,ring,pinky,palm_normal_angle,class
73.54282,50.9681,100.99023,96.6767,88.83559,145.7068,okay
73.71033,51.36361,100.007,95.86574,88.59979,146.49066,okay
73.95814,51.52316,99.28686,95.07277,87.78354,146.93046,okay
74.1172,51.27962,98.76632,94.32578,87.32186,146.36896,okay
74.3081,51.09288,98.91747,94.7364,87.68149,146.92748,okay
73.9225,51.32537,99.22169,94.91975,87.71889,146.61482,okay
73.97421,51.39972,97.66937,93.18176,86.32499,146.71791,okay
74.32902,51.24998,97.73546,93.19281,86.05725,146.38034,okay
73.82964,51.43892,97.90512,93.21505,85.64512,145.82524,okay
73.6862,51.47563,97.87991,93.21701,85.64412,145.86219,okay
82.66481,55.99456,107.07635,106.13071,91.88256,142.64481,okay
82.73967,56.40581,107.14512,105.93318,91.94081,142.95306,okay
82.66687,56.26301,106.40518,105.60656,91.63538,142.95873,okay
82.81754,56.32475,107.2048,105.47905,91.56634,142.87321,okay
82.88036,56.24664,107.18878,105.13257,90.73942,142.52401,okay
82.49142,54.18136,106.68062,104.10644,91.20552,142.7138,okay
82.73375,53.28273,106.43433,103.76053,91.54114,142.58721,okay
82.5766,52.39199,105.68916,103.26468,91.49483,142.3605,okay
82.47655,51.78552,105.17112,102.85516,91.08394,142.31567,okay
82.50522,51.92905,105.41465,102.62176,91.0097,142.35126,okay
77.15714,53.05833,109.76179,102.36051,94.02952,128.67638,okay
77.44016,53.09952,110.04739,102.70932,94.29214,128.68201,okay
77.7067,53.18863,110.36453,102.9696,94.40751,129.07246,okay
78.03139,52.91624,110.29955,102.69762,94.2689,129.36228,okay
78.15674,53.02996,110.00315,102.56766,94.14978,129.12914,okay
78.06694,53.02185,110.12345,102.89078,94.31003,129.17729,okay
78.13906,52.99929,110.12692,103.01044,94.3716,129.25768,okay
78.18649,52.85588,110.1412,102.85326,94.37858,129.6426,okay
78.55886,52.70082,110.41598,102.99242,94.43504,129.66517,okay
78.66885,52.7029,110.44854,102.84754,94.46047,130.03014,okay
78.32333,59.89816,105.83998,99.05959,92.50177,110.37783,okay
78.06483,60.00265,105.8759,99.32996,92.45973,110.55042,okay
78.88302,59.32455,105.46942,99.32561,92.27687,110.31364,okay
78.59755,61.16349,105.46722,98.97836,92.40069,110.43708,okay
78.30044,61.35629,105.47175,99.00644,92.42566,110.65686,okay
78.07016,60.92409,105.76823,99.30831,92.44463,110.80885,okay
78.54108,60.92516,105.97228,99.69339,92.49911,110.5674,okay
78.33932,60.86671,106.39161,100.04662,92.98687,110.97734,okay
78.468,61.47218,106.74004,100.29813,92.78331,110.54473,okay
78.90035,61.53531,106.0657,99.96342,92.8264,110.57847,okay
80.16931,70.50597,107.07433,98.1874,90.43634,119.78263,okay
80.37653,70.51155,107.21553,97.90202,90.50241,120.20849,okay
80.32439,70.79348,107.17504,97.70815,90.4749,120.17232,okay
80.44638,71.15389,107.01444,97.59544,90.56052,120.60065,okay
80.50137,71.46842,107.10257,97.32678,90.75893,121.51758,okay
80.77174,71.48183,107.16107,97.10205,90.86349,121.82585,okay
80.92243,71.23804,107.25584,97.0584,91.15651,122.60827,okay
80.92771,71.34676,106.99113,96.884,91.06794,122.60739,okay
80.59232,71.12134,107.03923,96.80827,91.04098,122.22539,okay
80.47592,71.19083,107.04781,96.75114,91.03165,122.29574,okay
80.10631,78.24809,107.61856,99.96355,92.86349,120.26695,okay
79.94919,78.46684,107.61763,100.0097,92.964,120.34918,okay
79.90954,78.41727,107.66615,100.07388,92.98654,120.30083,okay
79.59942,78.37563,107.7392,100.1263,93.05293,120.19084,okay
79.22666,79.98016,107.76508,100.01959,92.68771,119.73961,okay
79.13062,80.16944,107.67132,99.91131,92.5616,119.51536,okay
78.90047,80.53392,107.43857,99.80927,92.55798,119.27566,okay
78.89606,79.21894,107.49908,99.87472,92.58817,118.93441,okay
78.76644,78.24484,107.45509,99.8632,92.51518,118.91674,okay
78.45423,75.81554,107.31194,99.75734,92.38411,118.91221,okay
76.13982,54.82894,104.12863,100.69218,90.70734,142.97755,okay
76.21579,54.4291,104.07673,100.82243,90.90797,142.92056,okay
76.17266,54.22884,103.93575,100.89507,91.16205,143.18922,okay
75.93411,54.45748,104.04579,100.74085,90.99152,142.96796,okay
75.87312,54.44796,104.14762,100.81941,91.03072,143.28772,okay
76.21851,54.41227,103.95863,100.80225,90.58212,143.65863,okay
76.36742,54.41438,103.68037,100.84051,90.71912,143.93998,okay
76.3026,54.57148,103.34012,100.77316,91.04852,144.27974,okay
76.25111,54.67958,103.13905,100.67696,90.93483,144.43875,okay
76.15664,54.49726,103.11134,101.03466,91.29452,144.54684,okay
72.28371,55.69304,102.69527,97.5155,93.49296,127.48256,okay
72.24643,55.39499,102.64362,97.45213,93.48146,127.6364,okay
72.42226,55.50435,102.59258,97.15488,93.45609,127.5953,okay
71.55687,53.30476,100.35065,98.46625,92.39299,129.42318,okay
71.73671,53.00907,100.05211,98.06448,92.23946,129.6817,okay
71.94051,52.99315,96.46023,98.04855,92.25822,129.45107,okay
71.8932,52.96984,96.34444,97.57362,92.14403,129.64674,okay
72.1124,53.08861,95.6101,96.51221,91.9051,129.81206,okay
72.29695,53.0261,95.46555,96.90662,92.07209,129.19989,okay
72.70797,53.40617,95.94561,97.44083,92.13203,128.00076,okay
78.41855,64.80335,104.87444,100.05427,89.44078,102.65853,okay
78.35208,64.84219,104.95042,100.07719,89.42301,102.32987,okay
78.25994,64.70399,104.9564,100.13245,89.48183,102.05497,okay
78.44431,64.73867,105.04173,100.07557,89.50126,102.14224,okay
78.43336,64.55135,105.07249,100.13738,89.56326,102.06201,okay
78.56889,64.60591,105.11343,100.09938,89.51222,102.11885,okay
78.73696,64.89916,105.2439,100.03857,89.45197,102.5211,okay
78.6936,64.90681,104.98801,100.01114,89.5005,102.84471,okay
